CLIENT,GUID,OBJECT_ID,PROCESS_TYPE,POSTING_DATE,DESCRIPTION,DESCR_LANGUAGE,LOGICAL_SYSTEM,CRM_RELEASE,SCENARIO,TEMPLATE_TYPE,CREATED_AT,CREATED_BY,CHANGED_AT,CHANGED_BY,HEAD_CHANGED_AT,ORDERADM_H_DUMMY,ZZAFLD000000,ZZAFLD000003,ZZPARENT_LOC_ID,ZZUNIQUE,ZZAFLD000005,ZZAFLD00000E,ZZAFLD00001H,ZZREZERV_AMACI,ZZNET_DEGER,INPUT_CHANNEL,BTX_CLASS,AUTH_SCOPE,COMP_TX_HEADER,OBJECT_TYPE,ARCHIVING_FLAG,DESCRIPTION_UC,OBJECT_ID_OK,VERIFY_DATE,CRM_CHANGED_AT,POSTPROCESS_AT
100,026FDF53DFF31ED791D8844941192054,0000277877,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,121,920",4280,"20,170,601,121,923",4280,"20,170,601,121,923",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,121,923",0
100,026FDF53DFF31ED791D886B87DABC054,8000161760,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,121,921",4280,"20,170,601,121,921",4280,"20,170,601,121,921",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,121,921",0
100,026FDF53DFF31ED791D8C05F8D5220BE,0000277878,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,123,006",4280,"20,170,601,123,006",4280,"20,170,601,123,006",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,123,006",0
100,026FDF53DFF31ED791D918BDA75BA189,0000277879,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,013",4280,"20,170,601,125,149",4280,"20,170,601,125,149",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,125,149",0
100,026FDF53DFF31ED791D91A1CA81961AF,0000277880,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,025",4680,"20,170,601,125,054",4680,"20,170,601,125,054",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,125,054",0
100,026FDF53DFF31ED791D91BADC6B121B2,8000161762,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,025",4680,"20,170,601,125,648",4680,"20,170,601,125,648",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,601,125,648",0
100,026FDF53DFF31ED791D9240091D861B7,0000277881,Z010,6/1/2017,tuvalet,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,251",4015,"20,170,601,125,254",4015,"20,170,601,125,254",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,TUVALET,X,0,"20,170,601,125,254",0
100,026FDF53DFF31ED791D9266EB2F2C1BA,8000161763,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,251",4015,"20,170,711,132,910",4015,"20,170,711,132,910",,,,0,,01,6/6/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,711,132,910",0
100,026FDF53DFF31ED791D92DB4F69E21C2,0000277882,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,433",4280,"20,170,601,125,433",4280,"20,170,601,125,433",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,125,433",0
100,026FDF53DFF31ED791D9333B6ED821E6,0000277883,Z010,6/1/2017,Yelken Yarışları Hakkında,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,633",4280,"20,170,601,131,503",4280,"20,170,601,131,503",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,YELKEN YARIŞLARI HAKKINDA,X,0,"20,170,601,131,503",0
100,026FDF53DFF31ED791D935EA9EBF41E7,8000161764,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,125,633",4280,"20,170,601,131,500",4280,"20,170,601,131,500",,,,0,,01,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,X,,X,0,"20,170,601,131,500",0
100,026FDF53DFF31ED791D970F72647A25D,0000277884,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,131,154",4680,"20,170,601,131,154",4680,"20,170,601,131,154",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,131,154",0
100,026FDF53DFF31ED791D995F1E53C42B8,0000277899,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,134,116",4680,"20,170,601,134,116",4680,"20,170,601,134,116",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,134,116",0
100,026FDF53DFF31ED791D99EC40950A2C0,0000277894,Z010,6/1/2017,Bilgi Maili,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,618",ATEKIN,"20,170,601,133,621",ATEKIN,"20,170,601,133,621",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,BILGI MAILI,X,0,"20,170,601,133,621",0
100,026FDF53DFF31ED791D9A188268202E9,8000161774,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,133,619",ATEKIN,"20,170,609,115,135",ATEKIN,"20,170,609,115,135",,,,0,,,6/1/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,609,115,135",0
100,026FDF53DFF31ED791D9A9A296ADE2ED,0000277885,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,242",4015,"20,170,601,132,245",4015,"20,170,601,132,245",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,132,245",0
100,026FDF53DFF31ED791D9B0FBD39A62F3,0000277886,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,419",4015,"20,170,601,132,423",4015,"20,170,601,132,423",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,132,423",0
100,026FDF53DFF31ED791D9B151B1BA42F3,8000161766,ZRVR,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,419",4015,"20,170,607,081,039",4015,"20,170,607,081,039",,,,0,,02,6/7/2017,,,,,,0,00000000000000000000000000000000,BUS2000223,,,X,0,"20,170,607,081,039",0
100,026FDF53DFF31ED791D9B79DC21BA312,0000277887,Z010,6/1/2017,,T,CHPCLNT100,BBPCRM 714,A,,"20,170,601,132,524",4015,"20,170,601,132,527",4015,"20,170,601,132,527",,,,0,,,,,,,,,0,00000000000000000000000000000000,BUS2000126,,,X,0,"20,170,601,132,527",0
